gtin,category
5.00046E+12,fruit_veg
5.00023E+12,fruit_veg
5.00044E+12,fruit_veg
7.31131E+12,fruit_veg
5.01284E+12,fruit_veg
3.1663E+12,fruit_veg
5.0111E+12,fruit_veg
5.0111E+12,fruit_veg
5.00023E+12,fruit_veg
7.31131E+12,fruit_veg
7.31131E+12,fruit_veg
7.31131E+12,fruit_veg
5.05291E+12,fruit_veg
5.01284E+12,fruit_veg
5.00023E+12,fruit_veg
5.00023E+12,fruit_veg
5.00023E+12,fruit_veg
5.00023E+12,fruit_veg
5.00023E+12,fruit_veg
7.31131E+12,fruit_veg
7.31131E+12,fruit_veg
7.31131E+12,fruit_veg
5.00023E+12,fruit_veg
50225569,fruit_veg
5.00023E+12,fruit_veg
5.00023E+12,fruit_veg
3015155,fruit_veg
3016763,fish
3248980,fish
3249000,fish
3249017,fish
50171026,fish
96069813,fish
96075098,fish
3.26367E+12,fish
5.00017E+12,fish
5.00017E+12,fish
5.00017E+12,fish
5.00017E+12,fish
5.00017E+12,fish
5.00017E+12,fish
5.00017E+12,fish
5.00017E+12,fish
5.00017E+12,fish
5.00017E+12,fish
5.00023E+12,fish
5.00023E+12,fish
5.00023E+12,fish
5.00044E+12,fish
5.01079E+12,fish
5.05114E+12,fish
5.05211E+12,fish
5.05291E+12,fish
5.05395E+12,fish
5.39152E+12,fish
5.39152E+12,fish
5.00023E+12,fish
5.00023E+12,fish
50171675,fish
5.00017E+12,fish
5.00023E+12,fish
5.03102E+12,fish
3051634,fish
5.00017E+12,fish
8.88073E+12,fish
5.01107E+12,fish
5.00017E+12,fish
5.00017E+12,fish
5.00023E+12,fish
5.01079E+12,fish
5.00023E+12,fish
5.05395E+12,fish
5.05211E+12,fish
5.01107E+12,fish
5.00017E+12,fish
50171545,fish
5.00023E+12,fish
5.01183E+12,fish
5.01079E+12,fish
50171378,fish
5.00023E+12,fish
5.09908E+12,fish
5.00023E+12,fish
5.01107E+12,fish
5.00017E+12,fish
5.01079E+12,fish
5.00017E+12,fish
5.00017E+12,fish
5.0514E+12,fish
5.00017E+12,fish
5.00017E+12,fish
5.00017E+12,fish
5.00017E+12,fish
5.00017E+12,fish
5.00017E+12,fish
5.00023E+12,fish
5.39152E+12,fish
8.88853E+12,fish
5.00017E+12,fish
